ts,o,h,l,c,v
2026-07-16T13:00:00Z,3986.5,4014.958,3960.0,3985.644,0.044733
2026-07-16T14:00:00Z,3988.631,4024.07,3966.7,3993.834,0.005296
2026-07-16T15:00:00Z,3993.307,4030.4,3966.54,4001.1535,0.012973
2026-07-16T16:00:00Z,3999.04,4010.941,3959.2,3989.99,0.04099
2026-07-16T17:00:00Z,3988.365,4012.63,3954.128,3981.588,0.115084
2026-07-16T18:00:00Z,3983.49,4005.7,3956.36,3975.383,0.008828208
2026-07-16T19:00:00Z,3978.615,3999.9,3948.43,3973.75,0.150456
2026-07-16T20:00:00Z,3972.6515,3995.667,3948.6,3972.055,0.019354
2026-07-16T21:00:00Z,3995.0,4003.869,3949.134,3977.031,0.045153
2026-07-16T22:00:00Z,3975.78,3999.474,3949.6,3972.9045,0.027958
2026-07-16T23:00:00Z,3995.709,3999.86,3950.4,3980.381,0.061664
2026-07-17T00:00:00Z,3993.53851,4010.111,3984.03102,3997.67051,0.206945
2026-07-17T01:00:00Z,3996.26551,4009.3,3961.7,3977.9,0.064482
2026-07-17T02:00:00Z,3979.307,4000.9,3958.071,3975.0145,0.023205
2026-07-17T03:00:00Z,3950.6,4016.701,3950.6,3986.395,0.025626
2026-07-17T04:00:00Z,3984.93,4007.092,3953.5,3975.985,0.062804
2026-07-17T05:00:00Z,3999.67,4003.761,3950.5,3981.75,0.013962
2026-07-17T06:00:00Z,3984.002,4021.9,3984.002,3993.1875,0.006374
2026-07-17T07:00:00Z,3995.4905,3995.4905,3965.9,3988.55,0.033316
2026-07-17T08:00:00Z,3990.765,4016.01,3963.75,3990.393,0.064838
2026-07-17T09:00:00Z,3988.0805,4014.7,3966.5,3991.425,0.014949
2026-07-17T10:00:00Z,3990.261,4014.122,3985.4745,3985.4745,0.002
2026-07-17T11:00:00Z,3961.849,4007.98,3961.849,3988.69,0.112659
2026-07-17T12:00:00Z,3985.8,4009.6,3941.9,3961.25,0.130983
2026-07-17T13:00:00Z,3958.7,4007.503,3941.51,3988.8095,0.049009
2026-07-17T14:00:00Z,3990.9,4016.5,3971.37,3993.029,0.002459
2026-07-17T15:00:00Z,3995.623,4035.116,3975.968,4011.42,0.045632
2026-07-17T16:00:00Z,4008.2735,4035.44,3986.4,4007.4565,0.028723
2026-07-17T17:00:00Z,4010.715,4032.2,3987.13,4000.84,0.009702
2026-07-17T18:00:00Z,4002.81,4030.8,3999.77,4004.6005,0.002432
2026-07-17T19:00:00Z,4001.815,4027.217,3975.877,4006.685,0.004918
2026-07-17T20:00:00Z,4004.55,4030.87,4001.781,4025.996,0.003499
2026-07-17T21:00:00Z,4025.53,4026.6,3993.0,4010.08,0.002825
2026-07-17T22:00:00Z,4027.16,4028.3,3980.6,4003.655,0.026869
2026-07-17T23:00:00Z,4028.267,4028.27,3980.18,4004.46,0.083299
2026-07-18T00:00:00Z,4027.92,4028.2,4004.401,4004.401,0.075569
2026-07-18T01:00:00Z,3979.66,4028.916,3979.66,4005.309,0.009729
2026-07-18T02:00:00Z,4029.823,4029.823,3980.9,4004.68,0.079431
2026-07-18T03:00:00Z,4027.8,4030.76,3981.6,4006.5405,0.062364
2026-07-18T04:00:00Z,4031.071,4031.487,3983.1,4007.134,0.036648
2026-07-18T05:00:00Z,4031.724,4032.07,3984.1,4006.9445,0.02599
2026-07-18T06:00:00Z,4031.491,4031.491,3982.0,4008.675,0.029111
2026-07-18T07:00:00Z,3985.2,4033.58,3983.8,4011.221,0.014244338
2026-07-18T08:00:00Z,3987.4,4035.077,3986.588,4010.465,0.088391
2026-07-18T09:00:00Z,4035.1,4035.1,3986.059,4011.6945,0.006547
2026-07-18T10:00:00Z,3987.9,4035.5,3985.8,4011.015,0.071387
2026-07-18T11:00:00Z,3986.98,4034.03,3986.98,4009.6055,0.036954
2026-07-18T12:00:00Z,4032.911,4033.86,3986.09,4010.419,0.039923
2026-07-18T13:00:00Z,4034.519,4034.519,3984.54,4008.55,0.015909
2026-07-18T14:00:00Z,4032.8,4033.972,3985.37,4008.9145,0.02126
2026-07-18T15:00:00Z,4032.729,4032.729,3985.5,4009.73,0.008259
2026-07-18T16:00:00Z,4033.18,4033.6,3985.03,4010.0745,0.015325
2026-07-18T17:00:00Z,4033.932,4034.775,4010.0745,4011.105,0.00586
2026-07-18T18:00:00Z,4009.237,4009.237,3982.77,4007.0525,0.002506254
2026-07-18T19:00:00Z,4030.7,4031.8,4006.0,4006.0,0.005106
2026-07-18T20:00:00Z,4029.8,4029.8,4004.666,4004.666,0.001335
2026-07-18T21:00:00Z,3981.281,4027.6,3981.281,4003.859,0.052966
2026-07-18T22:00:00Z,4027.8,4028.211,3979.174,4004.545,0.054377
2026-07-18T23:00:00Z,4027.8,4031.612,4004.545,4009.9985,0.030669
2026-07-19T00:00:00Z,3986.016,4035.47,3985.8,4009.2,0.076911
2026-07-19T01:00:00Z,4032.71,4033.2,3985.27,4009.49,0.018185
