"ts","o","h","l","c","v"
"2024-01-01T01:00:00.0000000","1999.55","2001.05","1999.05","2000.05","0"
"2024-01-01T02:00:00.0000000","1999.6","2001.1","1999.1","2000.1","0"
"2024-01-01T03:00:00.0000000","1999.65","2001.15","1999.15","2000.15","0"
"2024-01-01T04:00:00.0000000","1999.7","2001.2","1999.2","2000.2","0"
"2024-01-01T05:00:00.0000000","1999.75","2001.25","1999.25","2000.25","0"
"2024-01-01T06:00:00.0000000","1999.8","2001.3","1999.3","2000.3","0"
"2024-01-01T07:00:00.0000000","1999.85","2001.35","1999.35","2000.35","0"
"2024-01-01T08:00:00.0000000","1999.9","2001.4","1999.4","2000.4","0"
"2024-01-01T09:00:00.0000000","1999.95","2001.45","1999.45","2000.45","0"
"2024-01-01T10:00:00.0000000","2000","2001.5","1999.5","2000.5","0"
"2024-01-01T11:00:00.0000000","2000.05","2001.55","1999.55","2000.55","0"
"2024-01-01T12:00:00.0000000","2000.1","2001.6","1999.6","2000.6","0"
"2024-01-01T13:00:00.0000000","2000.15","2001.65","1999.65","2000.65","0"
"2024-01-01T14:00:00.0000000","2000.2","2001.7","1999.7","2000.7","0"
"2024-01-01T15:00:00.0000000","2000.25","2001.75","1999.75","2000.75","0"
"2024-01-01T16:00:00.0000000","2000.3","2001.8","1999.8","2000.8","0"
"2024-01-01T17:00:00.0000000","2000.35","2001.85","1999.85","2000.85","0"
"2024-01-01T18:00:00.0000000","2000.4","2001.9","1999.9","2000.9","0"
"2024-01-01T19:00:00.0000000","2000.45","2001.95","1999.95","2000.95","0"
"2024-01-01T20:00:00.0000000","2000.5","2002","2000","2001","0"
"2024-01-01T21:00:00.0000000","2000.55","2002.05","2000.05","2001.05","0"
"2024-01-01T22:00:00.0000000","2000.6","2002.1","2000.1","2001.1","0"
"2024-01-01T23:00:00.0000000","2000.65","2002.15","2000.15","2001.15","0"
"2024-01-02T00:00:00.0000000","2000.7","2002.2","2000.2","2001.2","0"
"2024-01-02T01:00:00.0000000","2000.75","2002.25","2000.25","2001.25","0"
"2024-01-02T02:00:00.0000000","2000.8","2002.3","2000.3","2001.3","0"
"2024-01-02T03:00:00.0000000","2000.85","2002.35","2000.35","2001.35","0"
"2024-01-02T04:00:00.0000000","2000.9","2002.4","2000.4","2001.4","0"
"2024-01-02T05:00:00.0000000","2000.95","2002.45","2000.45","2001.45","0"
"2024-01-02T06:00:00.0000000","2001","2002.5","2000.5","2001.5","0"
"2024-01-02T07:00:00.0000000","2001.05","2002.55","2000.55","2001.55","0"
"2024-01-02T08:00:00.0000000","2001.1","2002.6","2000.6","2001.6","0"
"2024-01-02T09:00:00.0000000","2001.15","2002.65","2000.65","2001.65","0"
"2024-01-02T10:00:00.0000000","2001.2","2002.7","2000.7","2001.7","0"
"2024-01-02T11:00:00.0000000","2001.25","2002.75","2000.75","2001.75","0"
"2024-01-02T12:00:00.0000000","2001.3","2002.8","2000.8","2001.8","0"
"2024-01-02T13:00:00.0000000","2001.35","2002.85","2000.85","2001.85","0"
"2024-01-02T14:00:00.0000000","2001.4","2002.9","2000.9","2001.9","0"
"2024-01-02T15:00:00.0000000","2001.45","2002.95","2000.95","2001.95","0"
"2024-01-02T16:00:00.0000000","2001.5","2003","2001","2002","0"
